sample,pond,rep,mesh,tow_dist,tow_number,vol_sampled,count_rep,fiber,blue.red,other,total,fiber_m3,blue.red_m3,other_m3,total_m3,fiber_L,blue.red_L,other_L,total_L
LPP-A,LPP,A,153,4,10,1.2,i,108,2,1,111,900,16.6666666666667,8.33333333333333,925,0.9,0.0166666666666667,0.00833333333333333,0.925
LPP-A,LPP,A,153,4,10,1.2,ii,127,4,1,132,1058.33333333333,33.3333333333333,8.33333333333333,1100,1.05833333333333,0.0333333333333333,0.00833333333333333,1.1
LPP-A,LPP,A,153,4,10,1.2,iii,143,0,3,146,1191.66666666667,0,25,1216.66666666667,1.19166666666667,0,0.025,1.21666666666667
LPP-B,LPP,B,153,4,10,1.2,i,111,3,1,115,925,25,8.33333333333333,958.333333333333,0.925,0.025,0.00833333333333333,0.958333333333333
LPP-B,LPP,B,153,4,10,1.2,ii,121,2,0,123,1008.33333333333,16.6666666666667,0,1025,1.00833333333333,0.0166666666666667,0,1.025
LPP-B,LPP,B,153,4,10,1.2,iii,89,3,1,93,741.666666666667,25,8.33333333333333,775,0.741666666666667,0.025,0.00833333333333333,0.775
LPP-C,LPP,C,153,4,10,1.2,i,94,0,1,95,783.333333333333,0,8.33333333333333,791.666666666667,0.783333333333333,0,0.00833333333333333,0.791666666666667
LPP-C,LPP,C,153,4,10,1.2,ii,100,0,0,100,833.333333333333,0,0,833.333333333333,0.833333333333333,0,0,0.833333333333333
LPP-C,LPP,C,153,4,10,1.2,iii,96,1,0,97,800,8.33333333333333,0,808.333333333333,0.8,0.00833333333333333,0,0.808333333333333
DP-A,DP,A,153,4,25,3,i,63,2,0,65,210,6.66666666666667,0,216.666666666667,0.21,0.00666666666666667,0,0.216666666666667
DP-A,DP,A,153,4,25,3,ii,49,1,1,51,163.333333333333,3.33333333333333,3.33333333333333,170,0.163333333333333,0.00333333333333333,0.00333333333333333,0.17
DP-A,DP,A,153,4,25,3,iii,61,0,1,62,203.333333333333,0,3.33333333333333,206.666666666667,0.203333333333333,0,0.00333333333333333,0.206666666666667
DP- B,DP,B,153,4,25,3,i,14,4,0,18,46.6666666666667,13.3333333333333,0,60,0.0466666666666667,0.0133333333333333,0,0.06
DP- B,DP,B,153,4,25,3,ii,26,1,0,27,86.6666666666667,3.33333333333333,0,90,0.0866666666666667,0.00333333333333333,0,0.09
DP- B,DP,B,153,4,25,3,iii,32,3,0,35,106.666666666667,10,0,116.666666666667,0.106666666666667,0.01,0,0.116666666666667
Blank-A,Blank,A,NA,NA,NA,NA,i,3,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA
Blank-A,Blank,A,NA,NA,NA,NA,ii,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
Blank-A,Blank,A,NA,NA,NA,NA,iii,3,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA
